Adversarial Examples,Time(s),Length of Adversarial Examples
"(28/1, 41/1, 8/1, 59/1, 48/1, 49/1, 50/1, 53/1)",126.052,8
"(40/1, 30/1, 55/1, 41/1, 56/1, 25/1, 13/1, 48/1, 51/1, 30/1, 49/1, 51/1, 52/1, 47/1, 9/1, 12/1, 50/1)",126.932,17
"(32/1, 20/1, 21/1, 53/1, 4/1, 54/1, 56/1, 57/1, 31/1, 11/1, 38/1, 5/1, 26/1, 46/1, 3/1, 46/1)",128.158,16
"(10/1, 60/1, 51/1, 52/1, 53/1, 3/1, 32/1, 39/1, 32/1)",128.565,9
"(46/1, 36/1, 37/1, 38/1, 45/1, 30/1, 50/1, 33/1)",128.622,8
"(37/1, 13/1, 50/1, 33/1, 39/1, 38/1, 37/1, 29/1, 5/1, 43/1, 17/1, 16/1, 27/1, 3/1, 17/1)",128.98,15
"(6/1, 50/1, 3/1, 48/1, 18/1, 10/1, 7/1, 3/1, 49/1, 51/1, 52/1, 44/1, 39/1, 57/1, 17/1)",130.641,15
"(24/1, 44/1, 45/1, 46/1, 3/1, 52/1, 38/1, 3/1, 48/1, 4/1, 27/1, 31/1)",130.731,12
"(46/1, 45/1, 10/1, 48/1, 50/1, 51/1, 55/1, 13/1, 36/1, 22/1, 26/1, 52/1, 36/1, 2/1)",131.381,14
"(52/1, 16/1, 15/1, 6/1, 1/1, 55/1, 57/1, 58/1, 44/1, 16/1, 25/1, 48/1, 33/1, 58/1, 59/1, 9/1, 49/1, 45/1, 17/1)",132.645,19
"(56/1, 49/1, 33/1, 13/1, 42/1, 26/1, 33/1, 5/1, 48/1, 33/1, 30/1, 31/1, 31/1, 53/1)",133.019,14
"(52/1, 37/1, 41/1, 51/1, 58/1, 54/1, 53/1, 48/1, 35/1, 25/1, 46/1, 5/1, 49/1, 51/1, 52/1, 60/1, 55/1, 53/1, 47/1, 40/1)",133.159,20
"(3/1, 60/1, 45/1, 54/1, 55/1, 54/1, 53/1, 3/1, 59/1, 7/1, 57/1, 22/1)",133.365,12
"(43/1, 53/1, 52/1, 52/1, 20/1, 10/1, 16/1, 14/1, 51/1, 53/1, 27/1, 45/1, 29/1, 17/1, 46/1, 56/1, 25/1, 4/1)",133.65,18
"(56/1, 60/1, 49/1, 54/1, 48/1, 14/1, 40/1, 16/1, 22/1, 44/1, 22/1, 26/1, 27/1, 27/1, 56/1, 46/1, 31/1)",134.308,17
"(50/1, 47/1, 60/1, 38/1, 54/1, 56/1, 57/1, 6/1, 21/1, 26/1, 5/1, 22/1, 44/1, 23/1, 4/1, 11/1, 53/1, 19/1)",134.683,18
"(38/1, 35/1, 17/1, 58/1, 18/1, 44/1, 19/1, 54/1, 55/1, 56/1, 38/1, 44/1)",135.839,12
"(14/1, 30/1, 29/1, 12/1, 17/1, 25/1, 21/1, 29/1, 9/1, 8/1, 55/1, 45/1, 1/1, 19/1, 18/1, 18/1, 60/1, 2/1)",136.24,18
"(52/1, 40/1, 41/1, 42/1, 10/1, 38/1, 3/1, 37/1, 50/1, 3/1, 16/1, 42/1, 5/1, 31/1, 55/1, 43/1, 56/1, 51/1)",136.443,18
"(8/1, 48/1, 26/1, 52/1, 53/1, 54/1, 18/1, 26/1, 5/1, 22/1, 11/1)",136.642,11
"(14/1, 34/1, 23/1, 4/1, 8/1, 13/1, 25/1, 50/1, 52/1, 53/1, 29/1, 4/1, 6/1, 29/1, 19/1, 1/1)",136.683,16
"(37/1, 35/1, 11/1, 59/1, 32/1, 24/1, 55/1, 31/1, 32/1, 33/1, 26/1, 8/1, 53/1, 45/1, 39/1, 47/1)",137.064,16
"(43/1, 31/1, 28/1, 10/1, 6/1, 37/1, 22/1, 55/1, 11/1, 13/1, 41/1, 35/1, 36/1, 37/1, 21/1, 32/1, 37/1, 11/1, 26/1, 6/1)",141.174,20
