Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(47.0, 17.0, 22.0, 47.0, 17.0, 28.0, 23.0, 22.0, 60.0, 0.0, 60.0, 23.0)",4750.254,523,530,Y
"(14.0, 44.0, 6.0, 14.0, 44.0, 4.0, 31.0, 6.0, 43.0, 40.0, 43.0, 6.0)",4750.257,526,533,Y
"(7.0, 28.0, 14.0, 7.0, 28.0, 13.0, 33.0, 14.0, 57.0, 7.0, 48.0, 48.0)",7652.275,533,540,Y
"(16.0, 52.0, 22.0, 16.0, 52.0, 58.0, 37.0, 22.0, 5.0, 16.0, 16.0, 58.0)",7652.315,542,549,Y
"(21.0, 58.0, 7.0, 21.0, 58.0, 7.0, 21.0, 7.0, 21.0, 21.0, 21.0, 7.0)",7652.358,548,555,Y
"(4.0, 53.0, 15.0, 4.0, 53.0, 59.0, 41.0, 15.0, 32.0, 4.0, 53.0, 42.0)",7652.398,551,558,Y
"(1.0, 6.0, 51.0, 1.0, 6.0, 13.0, 39.0, 51.0, 47.0, 1.0, 6.0, 39.0)",7652.4,553,560,Y
"(18.0, 17.0, 45.0, 18.0, 17.0, 16.0, 9.0, 45.0, 1.0, 18.0, 16.0, 45.0)",7652.488,569,576,Y
"(8.0, 34.0, 8.0, 8.0, 34.0, 17.0, 24.0, 8.0, 54.0, 8.0, 54.0, 21.0)",7652.523,572,579,Y
"(15.0, 6.0, 10.0, 15.0, 6.0, 48.0, 0.0, 10.0, 55.0, 15.0, 55.0, 10.0)",7652.526,576,583,Y
"(32.0, 9.0, 3.0, 32.0, 9.0, 31.0, 10.0, 3.0, 55.0, 32.0, 55.0, 31.0)",7652.527,577,584,Y
"(13.0, 5.0, 11.0, 13.0, 5.0, 11.0, 54.0, 11.0, 10.0, 54.0, 37.0, 13.0)",10916.641,580,587,Y
"(23.0, 58.0, 55.0, 23.0, 58.0, 20.0, 1.0, 55.0, 14.0, 1.0, 11.0, 55.0)",10916.645,584,591,Y
"(4.0, 6.0, 1.0, 4.0, 6.0, 58.0, 14.0, 1.0, 37.0, 14.0, 4.0, 37.0)",10916.695,593,600,Y
